robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w
320.0,-40.0,175.0,180,0,0,220.0,175.0,40.0,0.5,-0.5,0.5,0.5
320.0,-30.0,75.0,180,0,0,220.0,75.0,30.0,0.5,-0.5,0.5,0.5
320.0,-30.0,85.0,180,0,0,220.0,85.0,30.0,0.5,-0.5,0.5,0.5
320.0,-30.0,95.0,180,0,0,220.0,95.0,30.0,0.5,-0.5,0.5,0.5
320.0,-30.0,105.0,180,0,0,220.0,105.0,30.0,0.5,-0.5,0.5,0.5
320.0,-30.0,115.0,180,0,0,220.0,115.0,30.0,0.5,-0.5,0.5,0.5
320.0,-30.0,125.0,180,0,0,220.0,125.0,30.0,0.5,-0.5,0.5,0.5
320.0,-30.0,135.0,180,0,0,220.0,135.0,30.0,0.5,-0.5,0.5,0.5
320.0,-30.0,145.0,180,0,0,220.0,145.0,30.0,0.5,-0.5,0.5,0.5
320.0,-30.0,155.0,180,0,0,220.0,155.0,30.0,0.5,-0.5,0.5,0.5
320.0,-30.0,165.0,180,0,0,220.0,165.0,30.0,0.5,-0.5,0.5,0.5
320.0,-30.0,175.0,180,0,0,220.0,175.0,30.0,0.5,-0.5,0.5,0.5
320.0,-20.0,75.0,180,0,0,220.0,75.0,20.0,0.5,-0.5,0.5,0.5
320.0,-20.0,85.0,180,0,0,220.0,85.0,20.0,0.5,-0.5,0.5,0.5
320.0,-20.0,95.0,180,0,0,220.0,95.0,20.0,0.5,-0.5,0.5,0.5
320.0,-20.0,105.0,180,0,0,220.0,105.0,20.0,0.5,-0.5,0.5,0.5
320.0,-20.0,115.0,180,0,0,220.0,115.0,20.0,0.5,-0.5,0.5,0.5
320.0,-20.0,125.0,180,0,0,220.0,125.0,20.0,0.5,-0.5,0.5,0.5
320.0,-20.0,135.0,180,0,0,220.0,135.0,20.0,0.5,-0.5,0.5,0.5
320.0,-20.0,145.0,180,0,0,220.0,145.0,20.0,0.5,-0.5,0.5,0.5
320.0,-20.0,155.0,180,0,0,220.0,155.0,20.0,0.5,-0.5,0.5,0.5
320.0,-20.0,165.0,180,0,0,220.0,165.0,20.0,0.5,-0.5,0.5,0.5
320.0,-20.0,175.0,180,0,0,220.0,175.0,20.0,0.5,-0.5,0.5,0.5
320.0,-10.0,75.0,180,0,0,220.0,75.0,10.0,0.5,-0.5,0.5,0.5
320.0,-10.0,85.0,180,0,0,220.0,85.0,10.0,0.5,-0.5,0.5,0.5
320.0,-10.0,95.0,180,0,0,220.0,95.0,10.0,0.5,-0.5,0.5,0.5
320.0,-10.0,105.0,180,0,0,220.0,105.0,10.0,0.5,-0.5,0.5,0.5
320.0,-10.0,115.0,180,0,0,220.0,115.0,10.0,0.5,-0.5,0.5,0.5
320.0,-10.0,125.0,180,0,0,220.0,125.0,10.0,0.5,-0.5,0.5,0.5
320.0,-10.0,135.0,180,0,0,220.0,135.0,10.0,0.5,-0.5,0.5,0.5
320.0,-10.0,145.0,180,0,0,220.0,145.0,10.0,0.5,-0.5,0.5,0.5
320.0,-10.0,155.0,180,0,0,220.0,155.0,10.0,0.5,-0.5,0.5,0.5
320.0,-10.0,165.0,180,0,0,220.0,165.0,10.0,0.5,-0.5,0.5,0.5
320.0,-10.0,175.0,180,0,0,220.0,175.0,10.0,0.5,-0.5,0.5,0.5
320.0,0.0,75.0,180,0,0,220.0,75.0,0.0,0.5,-0.5,0.5,0.5
320.0,0.0,85.0,180,0,0,220.0,85.0,0.0,0.5,-0.5,0.5,0.5
320.0,0.0,95.0,180,0,0,220.0,95.0,0.0,0.5,-0.5,0.5,0.5
320.0,0.0,105.0,180,0,0,220.0,105.0,0.0,0.5,-0.5,0.5,0.5
320.0,0.0,115.0,180,0,0,220.0,115.0,0.0,0.5,-0.5,0.5,0.5
320.0,0.0,125.0,180,0,0,220.0,125.0,0.0,0.5,-0.5,0.5,0.5
320.0,0.0,135.0,180,0,0,220.0,135.0,0.0,0.5,-0.5,0.5,0.5
320.0,0.0,145.0,180,0,0,220.0,145.0,0.0,0.5,-0.5,0.5,0.5
320.0,0.0,155.0,180,0,0,220.0,155.0,0.0,0.5,-0.5,0.5,0.5
320.0,0.0,165.0,180,0,0,220.0,165.0,0.0,0.5,-0.5,0.5,0.5
320.0,0.0,175.0,180,0,0,220.0,175.0,0.0,0.5,-0.5,0.5,0.5
320.0,10.0,75.0,180,0,0,220.0,75.0,-10.0,0.5,-0.5,0.5,0.5
320.0,10.0,85.0,180,0,0,220.0,85.0,-10.0,0.5,-0.5,0.5,0.5
320.0,10.0,95.0,180,0,0,220.0,95.0,-10.0,0.5,-0.5,0.5,0.5
320.0,10.0,105.0,180,0,0,220.0,105.0,-10.0,0.5,-0.5,0.5,0.5
320.0,10.0,115.0,180,0,0,220.0,115.0,-10.0,0.5,-0.5,0.5,0.5
320.0,10.0,125.0,180,0,0,220.0,125.0,-10.0,0.5,-0.5,0.5,0.5
320.0,10.0,135.0,180,0,0,220.0,135.0,-10.0,0.5,-0.5,0.5,0.5
320.0,10.0,145.0,180,0,0,220.0,145.0,-10.0,0.5,-0.5,0.5,0.5
320.0,10.0,155.0,180,0,0,220.0,155.0,-10.0,0.5,-0.5,0.5,0.5
320.0,10.0,165.0,180,0,0,220.0,165.0,-10.0,0.5,-0.5,0.5,0.5
320.0,10.0,175.0,180,0,0,220.0,175.0,-10.0,0.5,-0.5,0.5,0.5
320.0,20.0,75.0,180,0,0,220.0,75.0,-20.0,0.5,-0.5,0.5,0.5
320.0,20.0,85.0,180,0,0,220.0,85.0,-20.0,0.5,-0.5,0.5,0.5
320.0,20.0,95.0,180,0,0,220.0,95.0,-20.0,0.5,-0.5,0.5,0.5
320.0,20.0,105.0,180,0,0,220.0,105.0,-20.0,0.5,-0.5,0.5,0.5
320.0,20.0,115.0,180,0,0,220.0,115.0,-20.0,0.5,-0.5,0.5,0.5
320.0,20.0,125.0,180,0,0,220.0,125.0,-20.0,0.5,-0.5,0.5,0.5
320.0,20.0,135.0,180,0,0,220.0,135.0,-20.0,0.5,-0.5,0.5,0.5
320.0,20.0,145.0,180,0,0,220.0,145.0,-20.0,0.5,-0.5,0.5,0.5
320.0,20.0,155.0,180,0,0,220.0,155.0,-20.0,0.5,-0.5,0.5,0.5
320.0,20.0,165.0,180,0,0,220.0,165.0,-20.0,0.5,-0.5,0.5,0.5
320.0,20.0,175.0,180,0,0,220.0,175.0,-20.0,0.5,-0.5,0.5,0.5
320.0,30.0,75.0,180,0,0,220.0,75.0,-30.0,0.5,-0.5,0.5,0.5
320.0,30.0,85.0,180,0,0,220.0,85.0,-30.0,0.5,-0.5,0.5,0.5
320.0,30.0,95.0,180,0,0,220.0,95.0,-30.0,0.5,-0.5,0.5,0.5
320.0,30.0,105.0,180,0,0,220.0,105.0,-30.0,0.5,-0.5,0.5,0.5
320.0,30.0,115.0,180,0,0,220.0,115.0,-30.0,0.5,-0.5,0.5,0.5
320.0,30.0,125.0,180,0,0,220.0,125.0,-30.0,0.5,-0.5,0.5,0.5
320.0,30.0,135.0,180,0,0,220.0,135.0,-30.0,0.5,-0.5,0.5,0.5
320.0,30.0,145.0,180,0,0,220.0,145.0,-30.0,0.5,-0.5,0.5,0.5
320.0,30.0,155.0,180,0,0,220.0,155.0,-30.0,0.5,-0.5,0.5,0.5
320.0,30.0,165.0,180,0,0,220.0,165.0,-30.0,0.5,-0.5,0.5,0.5
320.0,30.0,175.0,180,0,0,220.0,175.0,-30.0,0.5,-0.5,0.5,0.5
320.0,40.0,75.0,180,0,0,220.0,75.0,-40.0,0.5,-0.5,0.5,0.5
320.0,40.0,85.0,180,0,0,220.0,85.0,-40.0,0.5,-0.5,0.5,0.5
320.0,40.0,95.0,180,0,0,220.0,95.0,-40.0,0.5,-0.5,0.5,0.5
320.0,40.0,105.0,180,0,0,220.0,105.0,-40.0,0.5,-0.5,0.5,0.5
320.0,40.0,115.0,180,0,0,220.0,115.0,-40.0,0.5,-0.5,0.5,0.5
320.0,40.0,125.0,180,0,0,220.0,125.0,-40.0,0.5,-0.5,0.5,0.5
320.0,40.0,135.0,180,0,0,220.0,135.0,-40.0,0.5,-0.5,0.5,0.5
320.0,40.0,145.0,180,0,0,220.0,145.0,-40.0,0.5,-0.5,0.5,0.5
320.0,40.0,155.0,180,0,0,220.0,155.0,-40.0,0.5,-0.5,0.5,0.5
320.0,40.0,165.0,180,0,0,220.0,165.0,-40.0,0.5,-0.5,0.5,0.5
320.0,40.0,175.0,180,0,0,220.0,175.0,-40.0,0.5,-0.5,0.5,0.5
320.0,50.0,75.0,180,0,0,220.0,75.0,-50.0,0.5,-0.5,0.5,0.5
320.0,50.0,85.0,180,0,0,220.0,85.0,-50.0,0.5,-0.5,0.5,0.5
320.0,50.0,95.0,180,0,0,220.0,95.0,-50.0,0.5,-0.5,0.5,0.5
320.0,50.0,105.0,180,0,0,220.0,105.0,-50.0,0.5,-0.5,0.5,0.5
320.0,50.0,115.0,180,0,0,220.0,115.0,-50.0,0.5,-0.5,0.5,0.5
320.0,50.0,125.0,180,0,0,220.0,125.0,-50.0,0.5,-0.5,0.5,0.5
320.0,50.0,135.0,180,0,0,220.0,135.0,-50.0,0.5,-0.5,0.5,0.5
320.0,50.0,145.0,180,0,0,220.0,145.0,-50.0,0.5,-0.5,0.5,0.5
320.0,50.0,155.0,180,0,0,220.0,155.0,-50.0,0.5,-0.5,0.5,0.5
320.0,50.0,165.0,180,0,0,220.0,165.0,-50.0,0.5,-0.5,0.5,0.5
320.0,50.0,175.0,180,0,0,220.0,175.0,-50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,75.0,180,0,0,230.0,75.0,50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,85.0,180,0,0,230.0,85.0,50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,95.0,180,0,0,230.0,95.0,50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,105.0,180,0,0,230.0,105.0,50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,115.0,180,0,0,230.0,115.0,50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,125.0,180,0,0,230.0,125.0,50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,135.0,180,0,0,230.0,135.0,50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,145.0,180,0,0,230.0,145.0,50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,155.0,180,0,0,230.0,155.0,50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,165.0,180,0,0,230.0,165.0,50.0,0.5,-0.5,0.5,0.5
330.0,-50.0,175.0,180,0,0,230.0,175.0,50.0,0.5,-0.5,0.5,0.5
330.0,-40.0,75.0,180,0,0,230.0,75.0,40.0,0.5,-0.5,0.5,0.5
330.0,-40.0,85.0,180,0,0,230.0,85.0,40.0,0.5,-0.5,0.5,0.5
330.0,-40.0,95.0,180,0,0,230.0,95.0,40.0,0.5,-0.5,0.5,0.5
330.0,-40.0,105.0,180,0,0,230.0,105.0,40.0,0.5,-0.5,0.5,0.5
330.0,-40.0,115.0,180,0,0,230.0,115.0,40.0,0.5,-0.5,0.5,0.5
330.0,-40.0,125.0,180,0,0,230.0,125.0,40.0,0.5,-0.5,0.5,0.5
330.0,-40.0,135.0,180,0,0,230.0,135.0,40.0,0.5,-0.5,0.5,0.5
330.0,-40.0,145.0,180,0,0,230.0,145.0,40.0,0.5,-0.5,0.5,0.5
330.0,-40.0,155.0,180,0,0,230.0,155.0,40.0,0.5,-0.5,0.5,0.5
330.0,-40.0,165.0,180,0,0,230.0,165.0,40.0,0.5,-0.5,0.5,0.5
330.0,-40.0,175.0,180,0,0,230.0,175.0,40.0,0.5,-0.5,0.5,0.5
330.0,-30.0,75.0,180,0,0,230.0,75.0,30.0,0.5,-0.5,0.5,0.5
330.0,-30.0,85.0,180,0,0,230.0,85.0,30.0,0.5,-0.5,0.5,0.5
330.0,-30.0,95.0,180,0,0,230.0,95.0,30.0,0.5,-0.5,0.5,0.5
330.0,-30.0,105.0,180,0,0,230.0,105.0,30.0,0.5,-0.5,0.5,0.5
330.0,-30.0,115.0,180,0,0,230.0,115.0,30.0,0.5,-0.5,0.5,0.5
330.0,-30.0,125.0,180,0,0,230.0,125.0,30.0,0.5,-0.5,0.5,0.5
330.0,-30.0,135.0,180,0,0,230.0,135.0,30.0,0.5,-0.5,0.5,0.5
330.0,-30.0,145.0,180,0,0,230.0,145.0,30.0,0.5,-0.5,0.5,0.5
330.0,-30.0,155.0,180,0,0,230.0,155.0,30.0,0.5,-0.5,0.5,0.5
330.0,-30.0,165.0,180,0,0,230.0,165.0,30.0,0.5,-0.5,0.5,0.5
330.0,-30.0,175.0,180,0,0,230.0,175.0,30.0,0.5,-0.5,0.5,0.5
330.0,-20.0,75.0,180,0,0,230.0,75.0,20.0,0.5,-0.5,0.5,0.5
330.0,-20.0,85.0,180,0,0,230.0,85.0,20.0,0.5,-0.5,0.5,0.5
330.0,-20.0,95.0,180,0,0,230.0,95.0,20.0,0.5,-0.5,0.5,0.5
330.0,-20.0,105.0,180,0,0,230.0,105.0,20.0,0.5,-0.5,0.5,0.5
330.0,-20.0,115.0,180,0,0,230.0,115.0,20.0,0.5,-0.5,0.5,0.5
330.0,-20.0,125.0,180,0,0,230.0,125.0,20.0,0.5,-0.5,0.5,0.5
330.0,-20.0,135.0,180,0,0,230.0,135.0,20.0,0.5,-0.5,0.5,0.5
330.0,-20.0,145.0,180,0,0,230.0,145.0,20.0,0.5,-0.5,0.5,0.5
330.0,-20.0,155.0,180,0,0,230.0,155.0,20.0,0.5,-0.5,0.5,0.5
330.0,-20.0,165.0,180,0,0,230.0,165.0,20.0,0.5,-0.5,0.5,0.5
330.0,-20.0,175.0,180,0,0,230.0,175.0,20.0,0.5,-0.5,0.5,0.5
330.0,-10.0,75.0,180,0,0,230.0,75.0,10.0,0.5,-0.5,0.5,0.5
330.0,-10.0,85.0,180,0,0,230.0,85.0,10.0,0.5,-0.5,0.5,0.5
330.0,-10.0,95.0,180,0,0,230.0,95.0,10.0,0.5,-0.5,0.5,0.5
330.0,-10.0,105.0,180,0,0,230.0,105.0,10.0,0.5,-0.5,0.5,0.5
330.0,-10.0,115.0,180,0,0,230.0,115.0,10.0,0.5,-0.5,0.5,0.5
330.0,-10.0,125.0,180,0,0,230.0,125.0,10.0,0.5,-0.5,0.5,0.5
330.0,-10.0,135.0,180,0,0,230.0,135.0,10.0,0.5,-0.5,0.5,0.5
330.0,-10.0,145.0,180,0,0,230.0,145.0,10.0,0.5,-0.5,0.5,0.5
330.0,-10.0,155.0,180,0,0,230.0,155.0,10.0,0.5,-0.5,0.5,0.5
330.0,-10.0,165.0,180,0,0,230.0,165.0,10.0,0.5,-0.5,0.5,0.5
330.0,-10.0,175.0,180,0,0,230.0,175.0,10.0,0.5,-0.5,0.5,0.5
330.0,0.0,75.0,180,0,0,230.0,75.0,0.0,0.5,-0.5,0.5,0.5
330.0,0.0,85.0,180,0,0,230.0,85.0,0.0,0.5,-0.5,0.5,0.5
330.0,0.0,95.0,180,0,0,230.0,95.0,0.0,0.5,-0.5,0.5,0.5
330.0,0.0,105.0,180,0,0,230.0,105.0,0.0,0.5,-0.5,0.5,0.5
330.0,0.0,115.0,180,0,0,230.0,115.0,0.0,0.5,-0.5,0.5,0.5
330.0,0.0,125.0,180,0,0,230.0,125.0,0.0,0.5,-0.5,0.5,0.5
330.0,0.0,135.0,180,0,0,230.0,135.0,0.0,0.5,-0.5,0.5,0.5
330.0,0.0,145.0,180,0,0,230.0,145.0,0.0,0.5,-0.5,0.5,0.5
330.0,0.0,155.0,180,0,0,230.0,155.0,0.0,0.5,-0.5,0.5,0.5
330.0,0.0,165.0,180,0,0,230.0,165.0,0.0,0.5,-0.5,0.5,0.5
330.0,0.0,175.0,180,0,0,230.0,175.0,0.0,0.5,-0.5,0.5,0.5
330.0,10.0,75.0,180,0,0,230.0,75.0,-10.0,0.5,-0.5,0.5,0.5
330.0,10.0,85.0,180,0,0,230.0,85.0,-10.0,0.5,-0.5,0.5,0.5
330.0,10.0,95.0,180,0,0,230.0,95.0,-10.0,0.5,-0.5,0.5,0.5
330.0,10.0,105.0,180,0,0,230.0,105.0,-10.0,0.5,-0.5,0.5,0.5
330.0,10.0,115.0,180,0,0,230.0,115.0,-10.0,0.5,-0.5,0.5,0.5
330.0,10.0,125.0,180,0,0,230.0,125.0,-10.0,0.5,-0.5,0.5,0.5
330.0,10.0,135.0,180,0,0,230.0,135.0,-10.0,0.5,-0.5,0.5,0.5
330.0,10.0,145.0,180,0,0,230.0,145.0,-10.0,0.5,-0.5,0.5,0.5
330.0,10.0,155.0,180,0,0,230.0,155.0,-10.0,0.5,-0.5,0.5,0.5
330.0,10.0,165.0,180,0,0,230.0,165.0,-10.0,0.5,-0.5,0.5,0.5
330.0,10.0,175.0,180,0,0,230.0,175.0,-10.0,0.5,-0.5,0.5,0.5
330.0,20.0,75.0,180,0,0,230.0,75.0,-20.0,0.5,-0.5,0.5,0.5
330.0,20.0,85.0,180,0,0,230.0,85.0,-20.0,0.5,-0.5,0.5,0.5
330.0,20.0,95.0,180,0,0,230.0,95.0,-20.0,0.5,-0.5,0.5,0.5
330.0,20.0,105.0,180,0,0,230.0,105.0,-20.0,0.5,-0.5,0.5,0.5
330.0,20.0,115.0,180,0,0,230.0,115.0,-20.0,0.5,-0.5,0.5,0.5
330.0,20.0,125.0,180,0,0,230.0,125.0,-20.0,0.5,-0.5,0.5,0.5
330.0,20.0,135.0,180,0,0,230.0,135.0,-20.0,0.5,-0.5,0.5,0.5
330.0,20.0,145.0,180,0,0,230.0,145.0,-20.0,0.5,-0.5,0.5,0.5
330.0,20.0,155.0,180,0,0,230.0,155.0,-20.0,0.5,-0.5,0.5,0.5
330.0,20.0,165.0,180,0,0,230.0,165.0,-20.0,0.5,-0.5,0.5,0.5
330.0,20.0,175.0,180,0,0,230.0,175.0,-20.0,0.5,-0.5,0.5,0.5
330.0,30.0,75.0,180,0,0,230.0,75.0,-30.0,0.5,-0.5,0.5,0.5
330.0,30.0,85.0,180,0,0,230.0,85.0,-30.0,0.5,-0.5,0.5,0.5
330.0,30.0,95.0,180,0,0,230.0,95.0,-30.0,0.5,-0.5,0.5,0.5
330.0,30.0,105.0,180,0,0,230.0,105.0,-30.0,0.5,-0.5,0.5,0.5
330.0,30.0,115.0,180,0,0,230.0,115.0,-30.0,0.5,-0.5,0.5,0.5
330.0,30.0,125.0,180,0,0,230.0,125.0,-30.0,0.5,-0.5,0.5,0.5
330.0,30.0,135.0,180,0,0,230.0,135.0,-30.0,0.5,-0.5,0.5,0.5
330.0,30.0,145.0,180,0,0,230.0,145.0,-30.0,0.5,-0.5,0.5,0.5
330.0,30.0,155.0,180,0,0,230.0,155.0,-30.0,0.5,-0.5,0.5,0.5
330.0,30.0,165.0,180,0,0,230.0,165.0,-30.0,0.5,-0.5,0.5,0.5
330.0,30.0,175.0,180,0,0,230.0,175.0,-30.0,0.5,-0.5,0.5,0.5
330.0,40.0,75.0,180,0,0,230.0,75.0,-40.0,0.5,-0.5,0.5,0.5
330.0,40.0,85.0,180,0,0,230.0,85.0,-40.0,0.5,-0.5,0.5,0.5
330.0,40.0,95.0,180,0,0,230.0,95.0,-40.0,0.5,-0.5,0.5,0.5
330.0,40.0,105.0,180,0,0,230.0,105.0,-40.0,0.5,-0.5,0.5,0.5
330.0,40.0,115.0,180,0,0,230.0,115.0,-40.0,0.5,-0.5,0.5,0.5
330.0,40.0,125.0,180,0,0,230.0,125.0,-40.0,0.5,-0.5,0.5,0.5
330.0,40.0,135.0,180,0,0,230.0,135.0,-40.0,0.5,-0.5,0.5,0.5
330.0,40.0,145.0,180,0,0,230.0,145.0,-40.0,0.5,-0.5,0.5,0.5
330.0,40.0,155.0,180,0,0,230.0,155.0,-40.0,0.5,-0.5,0.5,0.5
330.0,40.0,165.0,180,0,0,230.0,165.0,-40.0,0.5,-0.5,0.5,0.5
330.0,40.0,175.0,180,0,0,230.0,175.0,-40.0,0.5,-0.5,0.5,0.5
330.0,50.0,75.0,180,0,0,230.0,75.0,-50.0,0.5,-0.5,0.5,0.5
330.0,50.0,85.0,180,0,0,230.0,85.0,-50.0,0.5,-0.5,0.5,0.5
330.0,50.0,95.0,180,0,0,230.0,95.0,-50.0,0.5,-0.5,0.5,0.5
330.0,50.0,105.0,180,0,0,230.0,105.0,-50.0,0.5,-0.5,0.5,0.5
330.0,50.0,115.0,180,0,0,230.0,115.0,-50.0,0.5,-0.5,0.5,0.5
330.0,50.0,125.0,180,0,0,230.0,125.0,-50.0,0.5,-0.5,0.5,0.5
330.0,50.0,135.0,180,0,0,230.0,135.0,-50.0,0.5,-0.5,0.5,0.5
330.0,50.0,145.0,180,0,0,230.0,145.0,-50.0,0.5,-0.5,0.5,0.5
330.0,50.0,155.0,180,0,0,230.0,155.0,-50.0,0.5,-0.5,0.5,0.5
330.0,50.0,165.0,180,0,0,230.0,165.0,-50.0,0.5,-0.5,0.5,0.5
330.0,50.0,175.0,180,0,0,230.0,175.0,-50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,75.0,180,0,0,240.0,75.0,50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,85.0,180,0,0,240.0,85.0,50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,95.0,180,0,0,240.0,95.0,50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,105.0,180,0,0,240.0,105.0,50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,115.0,180,0,0,240.0,115.0,50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,125.0,180,0,0,240.0,125.0,50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,135.0,180,0,0,240.0,135.0,50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,145.0,180,0,0,240.0,145.0,50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,155.0,180,0,0,240.0,155.0,50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,165.0,180,0,0,240.0,165.0,50.0,0.5,-0.5,0.5,0.5
340.0,-50.0,175.0,180,0,0,240.0,175.0,50.0,0.5,-0.5,0.5,0.5
340.0,-40.0,75.0,180,0,0,240.0,75.0,40.0,0.5,-0.5,0.5,0.5
340.0,-40.0,85.0,180,0,0,240.0,85.0,40.0,0.5,-0.5,0.5,0.5
340.0,-40.0,95.0,180,0,0,240.0,95.0,40.0,0.5,-0.5,0.5,0.5
340.0,-40.0,105.0,180,0,0,240.0,105.0,40.0,0.5,-0.5,0.5,0.5
340.0,-40.0,115.0,180,0,0,240.0,115.0,40.0,0.5,-0.5,0.5,0.5
340.0,-40.0,125.0,180,0,0,240.0,125.0,40.0,0.5,-0.5,0.5,0.5
340.0,-40.0,135.0,180,0,0,240.0,135.0,40.0,0.5,-0.5,0.5,0.5
340.0,-40.0,145.0,180,0,0,240.0,145.0,40.0,0.5,-0.5,0.5,0.5
340.0,-40.0,155.0,180,0,0,240.0,155.0,40.0,0.5,-0.5,0.5,0.5
340.0,-40.0,165.0,180,0,0,240.0,165.0,40.0,0.5,-0.5,0.5,0.5
340.0,-40.0,175.0,180,0,0,240.0,175.0,40.0,0.5,-0.5,0.5,0.5
340.0,-30.0,75.0,180,0,0,240.0,75.0,30.0,0.5,-0.5,0.5,0.5
340.0,-30.0,85.0,180,0,0,240.0,85.0,30.0,0.5,-0.5,0.5,0.5
340.0,-30.0,95.0,180,0,0,240.0,95.0,30.0,0.5,-0.5,0.5,0.5
340.0,-30.0,105.0,180,0,0,240.0,105.0,30.0,0.5,-0.5,0.5,0.5
340.0,-30.0,115.0,180,0,0,240.0,115.0,30.0,0.5,-0.5,0.5,0.5
340.0,-30.0,125.0,180,0,0,240.0,125.0,30.0,0.5,-0.5,0.5,0.5
340.0,-30.0,135.0,180,0,0,240.0,135.0,30.0,0.5,-0.5,0.5,0.5
340.0,-30.0,145.0,180,0,0,240.0,145.0,30.0,0.5,-0.5,0.5,0.5
340.0,-30.0,155.0,180,0,0,240.0,155.0,30.0,0.5,-0.5,0.5,0.5
340.0,-30.0,165.0,180,0,0,240.0,165.0,30.0,0.5,-0.5,0.5,0.5
340.0,-30.0,175.0,180,0,0,240.0,175.0,30.0,0.5,-0.5,0.5,0.5
340.0,-20.0,75.0,180,0,0,240.0,75.0,20.0,0.5,-0.5,0.5,0.5
340.0,-20.0,85.0,180,0,0,240.0,85.0,20.0,0.5,-0.5,0.5,0.5
340.0,-20.0,95.0,180,0,0,240.0,95.0,20.0,0.5,-0.5,0.5,0.5
340.0,-20.0,105.0,180,0,0,240.0,105.0,20.0,0.5,-0.5,0.5,0.5
340.0,-20.0,115.0,180,0,0,240.0,115.0,20.0,0.5,-0.5,0.5,0.5
340.0,-20.0,125.0,180,0,0,240.0,125.0,20.0,0.5,-0.5,0.5,0.5
340.0,-20.0,135.0,180,0,0,240.0,135.0,20.0,0.5,-0.5,0.5,0.5
340.0,-20.0,145.0,180,0,0,240.0,145.0,20.0,0.5,-0.5,0.5,0.5
340.0,-20.0,155.0,180,0,0,240.0,155.0,20.0,0.5,-0.5,0.5,0.5
340.0,-20.0,165.0,180,0,0,240.0,165.0,20.0,0.5,-0.5,0.5,0.5
340.0,-20.0,175.0,180,0,0,240.0,175.0,20.0,0.5,-0.5,0.5,0.5
340.0,-10.0,75.0,180,0,0,240.0,75.0,10.0,0.5,-0.5,0.5,0.5
340.0,-10.0,85.0,180,0,0,240.0,85.0,10.0,0.5,-0.5,0.5,0.5
340.0,-10.0,95.0,180,0,0,240.0,95.0,10.0,0.5,-0.5,0.5,0.5
340.0,-10.0,105.0,180,0,0,240.0,105.0,10.0,0.5,-0.5,0.5,0.5
340.0,-10.0,115.0,180,0,0,240.0,115.0,10.0,0.5,-0.5,0.5,0.5
340.0,-10.0,125.0,180,0,0,240.0,125.0,10.0,0.5,-0.5,0.5,0.5
340.0,-10.0,135.0,180,0,0,240.0,135.0,10.0,0.5,-0.5,0.5,0.5
340.0,-10.0,145.0,180,0,0,240.0,145.0,10.0,0.5,-0.5,0.5,0.5
340.0,-10.0,155.0,180,0,0,240.0,155.0,10.0,0.5,-0.5,0.5,0.5
340.0,-10.0,165.0,180,0,0,240.0,165.0,10.0,0.5,-0.5,0.5,0.5
340.0,-10.0,175.0,180,0,0,240.0,175.0,10.0,0.5,-0.5,0.5,0.5
340.0,0.0,75.0,180,0,0,240.0,75.0,0.0,0.5,-0.5,0.5,0.5
340.0,0.0,85.0,180,0,0,240.0,85.0,0.0,0.5,-0.5,0.5,0.5
340.0,0.0,95.0,180,0,0,240.0,95.0,0.0,0.5,-0.5,0.5,0.5
340.0,0.0,105.0,180,0,0,240.0,105.0,0.0,0.5,-0.5,0.5,0.5
340.0,0.0,115.0,180,0,0,240.0,115.0,0.0,0.5,-0.5,0.5,0.5
340.0,0.0,125.0,180,0,0,240.0,125.0,0.0,0.5,-0.5,0.5,0.5
340.0,0.0,135.0,180,0,0,240.0,135.0,0.0,0.5,-0.5,0.5,0.5
340.0,0.0,145.0,180,0,0,240.0,145.0,0.0,0.5,-0.5,0.5,0.5
340.0,0.0,155.0,180,0,0,240.0,155.0,0.0,0.5,-0.5,0.5,0.5
340.0,0.0,165.0,180,0,0,240.0,165.0,0.0,0.5,-0.5,0.5,0.5
340.0,0.0,175.0,180,0,0,240.0,175.0,0.0,0.5,-0.5,0.5,0.5
340.0,10.0,75.0,180,0,0,240.0,75.0,-10.0,0.5,-0.5,0.5,0.5
340.0,10.0,85.0,180,0,0,240.0,85.0,-10.0,0.5,-0.5,0.5,0.5
340.0,10.0,95.0,180,0,0,240.0,95.0,-10.0,0.5,-0.5,0.5,0.5
